2 people in front of 2 people. 2 people behind 2 people and 2 people beside 2 people. How many people are there?,Four.
3 point goal. What am I?,Field Goal.
81 x 9 = 801. What do you need to do to make this equation true?,Turn it upside down. 108 = 6 x 18.
A beacon from home to guide your way. It can be a lifesaver on a stormy day. What is it?,Lighthouse.
A beautiful succession of sounds?,Music.
A beggar's brother went out to sea and drowned. But the man who drowned had no brother. Who was the beggar to the man who drowned?,Sister.
A beverage named after a stick. Also combats the stains of another beverage?,ClubSoda.
A bird done at every meal?,Swallow.
A bird that is too large to fly?,BigBird.
"A bird that is: Nothing, Twice yourself, Fifty?",Owl.
A blind superhero and Evel Knievel's profession?,Daredevil.
A blue house is made of blue bricks. A yellow house is made of yellow bricks. What would a green house be made of?,Glass.
"A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?",Phonebook.
"A box without hinges, lock or key, yet golden treasure lies within?",Egg.
"A breakfast food that is cracked from white shells and is often scrambled. Usually served with bacon, sausage, toast or pancakes?",Eggs.
"A bus driver was heading down a busy street in the city. He went past three stop signs without stopping, went the wrong way down a one-way street and answered a message on his phone. But the bus driver didn’t break any traffic laws. How?","He was walking, not driving."
A butcher is 6 feet tall and wears a size 12 shoe. What does he weigh?,"Meat, of course."
A candy whose name is reminiscent of a small laugh?,Snickers.
A caribbean shape that makes ships disappear?,Triangle.
"A cat wants to get in better shape. She’s going to start by climbing the stairs. Starting on the fourth floor, she climbs up five stories, down seven stories, up six stories, down three stories and up four stories again. What floor is she on?",The ninth floor.
A cat-like name for those of the left handed persuasion which is very common in boxing?,Southpaw.
A cat-like nickname for those of the left handed persuasion?,SouthPaw.
A celebrity under the sea?,Starfish.
A certain crime is punishable if attempted. But not punishable if committed. What is it?,Suicide.
A certain wizard resided in a city made from this gemstone?,Emerald.
"A circle of stones, never in rows. Stacked one on the other, mystery it sows. What is it?",Stonehenge.
A close relative of ketchup that people often spread on their dog?,Mustard.
"A cloud was my mother, the wind is my father. My son is the cool stream and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place. And I'm the torment of man?",Rain.
A colorful cuisine without flesh?,Vegetable.
A common need for both courage and hardcover for books?,Spine.
A common place to find can-can girls and drunk cowboys. What place is this?,Saloon.
"A container holding water but not a cup. If you want to find me, look up. What am I?",Coconut.
A cowboy comes into town on Friday. He stays two nights at a local hotel. He leaves on Friday. How is this possible?,His horse's name is Friday.
"A cowgirl road into town on Friday. Three days later, she left on Friday. How is that possible?",Friday is the name of her horse.
A crafty use of long pieces of wool to make a scarf?,Knit.
A cuisine without flesh?,Vegetarian.
"A dagger thrust at my own heart, dictates the way I'm swayed. Left I stand and right I yield, to the twisting of the blade?",Lock.
A dark-colored creature serenaded by Lennon and McCartney?,Blackbird.
A defendant will go free if a reasonable amount of this exists?,Doubt.
A delicious way of presenting numbers?,PieChart.
A desert oasis where money magically disappears from your pocket?,LasVegas.
A desire to consume?,Hunger.
A device for finding furniture in the dark?,Shin.
A device that nearly everyone has that can freeze anyone it sees. What is it?,Camera.
A disposable item to keep your waste organized?,Trashbag.
A DJ does this to records. I do it to mosquito bites?,Scratch.
A doctor gives you three pills and tells you to take one every half an hour. How long will the pills last?,One Hour.
A doctor might remove one from the neck of a Dracula victim?,Fang.
"A dragons tooth in a mortals hand, I kill, I maim, I divide the land?",Sword.
"A dragons tooth in a mortals hand, I kill, I maim, I divide the land. What am I?",Sword.
A drinkable phase of matter?,Liquid.
A famous home without color and with wings?,WhiteHouse.
A farmer has 17 sheep and all but 9 run away. how many are left?,Nine.
A fashion statement whose name sounds like the upper part of a mobile war machine?,TankTop.
A father's and mother's child I am one but I am no one's son. Who am I?,Daughter.
"A father's child, a mother's child, yet no one's son?",Daughter.
"A father's child, a mother's child, yet no one's son. Who am I?",Daughter.
A favored material among biker gangs and superheroes?,Leather.
"A first job for many kids, this could be described as ""Media Distribution Management.""?",PaperRoute.
"A flash of light on a grey day. If you're made of metal, you best stay away. What am I?",Lightning.
A gentleman whose offspring have successfully produced offspring of their own?,Grandpa.
A girl fell off a 20-foot ladder. She wasn’t hurt. Why?,She fell off the bottom step.
A girl has as many brothers as sisters but each brother has only half as many brothers as sisters. How many brothers and sisters are there in the family?,Four sisters and three brothers.
"A girl is sitting in a house at night that has no lights on at all. There is no lamp, no candle, nothing. Yet she is reading. How?",The woman is blind and she is reading Braille.
A goofy creature that produces fine wool and like to spit at you?,Llama.
A great mysterious place that the bold have been known to journey into?,Unknown.
A great mystery that the bold have been known to journey into?,Unknown.
A group of bunnies were having a birthday party. What kind of music were they listening to?,Hip hop music.
A group that manages the winged engines of war?,AirForce.
A gruesome betrayal?,BackStab.
A hammer that brings a room to order?,Gavel.
A hand without flesh and nothing can I hold. My grip cannot be used until I am sold. What am I?,Gloves.
"A harvest sown and reaped on the same day in an unplowed field. Which increases without growing, remains whole though it is eaten within and without. Is useless and yet the staple of nations?",War.
"A hill full, a hole full, yet you cannot catch a bowl full?",Mist.
A hold leading in a hold leading out I connect to a cavern that is slimy throughout?,Nose.
"A hole in a pole, though I fill a hole in white. I'm used more by the day and less by the night?",Eye.
"A hole in a pole. Though I fill a hole in white, I'm used more b the day and less by the night. What am I?",Eye.
"A horrid monster hides from the day, with many legs and many eyes. With silver chains it catches prey. And eats it all before it dies. Yet in every cottage does it stay. And every castle beneath the sky?",Spider.
"A house full, a yard full, a chimney full, no one can get a spoonful?",Smoke.
A house has 4 walls. All of the walls are facing south and a bear is circling the house. What color is the bear?,White.
A house of wood in a hidden place. Built without nails or glue. High above the earthen ground. It holds pale gems of blue?,Nest.
"A house where you are brought, If they find you or get caught. If you cross the government, This is where you will be sent?",Jail.
"A house with two occupants, sometimes one, rarely three. Break the walls, eat the boarders, then throw away me?",Peanut.
"A hundred years I once did live and often wholesome food did give, yet all that time I ne'er did roam, so much as a half a mile from my home, my days were spent devoid of strife, until at last I lost my life. And since my death – I pray give ear, I oft have traveled far and near?",Tree.
"A job that involves sitting in a highchair, wearing a black gown and smacking things with a mallet?",Judge.
A kind of game with love and service played by singles and pairs?,Tennis.
